line,ref_kind,direct_method,path_expression,tail
1722,db.ref,update,DB_PATH,".update(u),10000,'KASBON_TIMEOUT');clsModal('modal-tambah-kasbon');showToast('Kasbon karyawan tersimpan • '+sjFundLabel(source)+'.','success"
1727,db.ref,remove,DB_PATH+'/'+activeDate,".remove(),12000,'RESET_SHIFT_TIMEOUT');sjAudit('RESET_SHIFT',activeDate);showToast('Shift dihapus.','warning')}catch(e){sjSaveError('RESET_S"
1730,db.ref,update,DB_PATH+'/global',".update({menu:null,kategori:null,inventory:null}),12000,'CLEAR_MASTER_TIMEOUT');sjAudit('CLEAR_MASTER','Produk/kategori/inventory');showToas"
1733,db.ref,transaction,DB_PATH+'/global/inventory/'+p.id,".transaction(cur=>sjNum(cur)+sjNum(it.q)),8000,'VOID_STOCK_TIMEOUT');restored.push({id:p.id,q:sjNum(it.q),name:p.n})}}var u={},path=activeDa"
1733,db.ref,transaction,DB_PATH+'/global/inventory/'+r.id,".transaction(cur=>Math.max(0,sjNum(cur)-r.q))}catch(_){}}alert(sjFriendlyError(e))}})})}  // Ganti fungsi tutupBukuBulanan function tutupBuk"
1733,db.ref,update,DB_PATH,".update(u),10000,'VOID_TIMEOUT');showToast('Transaksi di-VOID dan stok dikembalikan.','warning');calcLaporan();sjRenderTransactionHistory()}"
1736,db.ref,set,DB_PATH+'/global/lockedMonths',".set(locked),10000,'EOM_TIMEOUT');sjAudit('EOM_CLOSE',bln);showToast('Bulan '+bln+' ditutup.','success')}catch(e){sjSaveError('EOM_CLOSE',e)"
1739,db.ref,once,DB_PATH,".once('value'),15000,'BACKUP_TIMEOUT'),data=snap.val();if(!data)return alert('Database kosong.');var blob=new Blob([JSON.stringify(data,null"
1742,db.ref,once,DB_PATH,".once('value'),12000,'PRE_RESTORE_TIMEOUT');if(old.val())sjDownloadBlob(new Blob([JSON.stringify(old.val(),null,2)],{type:'application/json'"
1742,db.ref,set,DB_PATH,".set(data),18000,'RESTORE_TIMEOUT');showToast('Restore berhasil. Aplikasi akan dimuat ulang.','success');setTimeout(()=>location.reload(),10"
1846,db.ref,once,DB_PATH,".once('value'),12000,'GRAN_READ_TIMEOUT'),data=snap.val()||{};Object.keys(data).filter(k=>/^\d{4}-\d{2}-\d{2}/.test(k)&&k.substring(0,10)>=a"
1846,db.ref,once,DB_PATH+'/'+sk,".once('value'),5000,'GRAN_USER_SHIFT_GUARD').catch(()=>null);if(ss&&window.SJReliability&&SJReliability.shiftOwnedByUser(ss.val(),uid))retur"
1846,db.ref,update,DB_PATH,".update(u),15000,'GRAN_DELETE_TIMEOUT');closeModalHapusGranular();sjAudit('GRANULAR_DELETE',Object.keys(u).length+' path');showToast('Data p"
1850,db.ref,update,DB_PATH,".update(u),10000,'EXPENSE_TIMEOUT');clsModal('modal-sj-expense');showToast('Pengeluaran disimpan • '+sjFundLabel(source)+'.','success')}catc"
