line,ref_kind,direct_method,path_expression,tail
2904,db.ref,,DB_PATH+'/global/'+node+'/'+key,",payId='PAY-'+Date.now().toString(36).toUpperCase()+'-'+Math.random().toString(36).slice(2,6).toUpperCase(),lockHeld=false;     sjSetBusy(bt"
2923,db.ref,once,DB_PATH+'/global/'+node+'/'+key+'/lastPaymentId',.once('value')).val();return String(v||'')===payId});       lockHeld=false;clsModal('modal-sj-payment');SJ_ACTIVE_PAYMENT=null;showToast('Pe
2953,db.ref,,DB_PATH+'/'+activeDate+'/tx/'+txKey,",refid=sjPushKey(DB_PATH+'/global/refunds'),lockId='REF-'+Date.now().toString(36).toUpperCase(),lockHeld=false,restocked=[];       try{     "
2961,db.ref,transaction,DB_PATH+'/global/inventory/'+row.item.id,".transaction(cur=>sjNum(cur)+row.q),8000,'REFUND_STOCK_TIMEOUT');restocked.push({id:row.item.id,q:row.q,name:this.productName(fresh,row.inde"
2968,db.ref,once,DB_PATH+'/'+activeDate+'/tx/'+txKey+'/lastRefundId',.once('value')).val()||'')===String(refid));         lockHeld=false;showToast('Retur '+fmt(total)+' berhasil dicatat'+(allDone?' • transaksi
2971,db.ref,once,DB_PATH+'/'+activeDate+'/tx/'+txKey+'/lastRefundId',.once('value')).val()||'')===String(refid)}catch(_){ }         if(!committed){for(const x of restocked){try{await db.ref(DB_PATH+'/global/in
2972,db.ref,transaction,DB_PATH+'/global/inventory/'+x.id,".transaction(cur=>Math.max(0,sjNum(cur)-x.q))}catch(_){}}}         if(lockHeld&&!committed){try{await txRef.transaction(cur=>{if(cur&&String"
2984,db.ref,,DB_PATH+'/'+activeDate+'/tx/'+txKey,",voidId='VOID-'+Date.now().toString(36).toUpperCase(),lockHeld=false,restored=[];       try{         var claim=await sjTimeout(txRef.transac"
2988,db.ref,once,DB_PATH+'/global/hutang/'+fresh.debtId,".once('value'),6000,'VOID_DEBT_CHECK_TIMEOUT'),debt=debtSnap.val()||{};if(sjNum(debt.paid)>0||['SEBAGIAN','LUNAS'].includes(String(debt.stat"
2989,db.ref,transaction,DB_PATH+'/global/inventory/'+it.id,".transaction(cur=>sjNum(cur)+q),8000,'VOID_STOCK_TIMEOUT');restored.push({id:it.id,q:q,name:this.productName(fresh,i,it)})}}}         var u="
2994,db.ref,once,DB_PATH+'/'+activeDate+'/tx/'+txKey+'/voidId',".once('value')).val()||'')===voidId);lockHeld=false;showToast('Transaksi di-VOID dan stok dikembalikan.','warning');calcLaporan();sjRenderTr"
2996,db.ref,once,DB_PATH+'/'+activeDate+'/tx/'+txKey+'/voidId',.once('value')).val()||'')===voidId}catch(_){ }         if(!committed){for(const r of restored){try{await db.ref(DB_PATH+'/global/inventory/
2997,db.ref,transaction,DB_PATH+'/global/inventory/'+r.id,".transaction(cur=>Math.max(0,sjNum(cur)-r.q))}catch(_){}}}         if(lockHeld&&!committed){try{await txRef.transaction(cur=>{if(cur&&String"
3065,db.ref,,DB_PATH+'/'+activeDate+'/tx/'+txKey,",refid=sjPushKey(DB_PATH+'/global/refunds'),lockId='REF-'+Date.now().toString(36).toUpperCase(),lockHeld=false;       try{         var claim"
3082,db.ref,once,DB_PATH+'/'+activeDate+'/tx/'+txKey+'/lastRefundId',.once('value')).val()||'')===String(refid));         lockHeld=false;showToast('Retur '+fmt(total)+' berhasil dicatat'+(allDone?' • transaksi
3085,db.ref,once,DB_PATH+'/'+activeDate+'/tx/'+txKey+'/lastRefundId',.once('value')).val()||'')===String(refid)}catch(_){ }         if(lockHeld&&!committed){try{await txRef.transaction(cur=>{if(cur&&String(cur
3097,db.ref,,DB_PATH+'/'+activeDate+'/tx/'+txKey,",voidId='VOID-'+Date.now().toString(36).toUpperCase(),lockHeld=false;       try{         var claim=await sjTimeout(txRef.transaction(cur=>{i"
3101,db.ref,once,DB_PATH+'/global/hutang/'+fresh.debtId,".once('value'),6000,'VOID_DEBT_CHECK_TIMEOUT'),debt=debtSnap.val()||{};if(sjNum(debt.paid)>0||['SEBAGIAN','LUNAS'].includes(String(debt.stat"
3109,db.ref,once,DB_PATH+'/'+activeDate+'/tx/'+txKey+'/voidId',".once('value')).val()||'')===voidId);lockHeld=false;showToast('Transaksi di-VOID dan seluruh koreksi tersimpan atomik.','warning');calcLapor"
3111,db.ref,once,DB_PATH+'/'+activeDate+'/tx/'+txKey+'/voidId',.once('value')).val()||'')===voidId}catch(_){ }         if(lockHeld&&!committed){try{await txRef.transaction(cur=>{if(cur&&String(cur.voidLo
3122,db.ref,once,DB_PATH+'/'+activeDate+'/opex/'+id,".once('value')).exists());clsModal('modal-sj-expense');showToast('Pengeluaran disimpan • '+sjFundLabel(source)+'.','success')}     catch(e){"
3130,db.ref,once,DB_PATH+'/global/kasbonKaryawan/'+id,".once('value')).exists());clsModal('modal-tambah-kasbon');showToast('Kasbon karyawan tersimpan • '+sjFundLabel(source)+'.','success')}     c"
3136,db.ref,,DB_PATH+'/global/restockRequests/'+key,",attempt='RCV-'+Date.now().toString(36).toUpperCase()+'-'+Math.random().toString(36).slice(2,5).toUpperCase(),claimed=false;     try{       "
3141,db.ref,once,DB_PATH+'/global/inventory/'+p.id,".once('value').catch(()=>null),after=afterSnap?sjNum(afterSnap.val()):sjStockQty(p)+qty;showToast('Stok diterima. '+p.n+' sekarang '+after+'"
3141,db.ref,once,DB_PATH+'/global/restockRequests/'+key+'/receivedAttemptId',.once('value')).val()||'')===attempt);claimed=false;var afterSnap=await db.ref(DB_PATH+'/global/inventory/'+p.id).once('value').catch(()=>nu
3143,db.ref,once,DB_PATH+'/global/restockRequests/'+key+'/receivedAttemptId',.once('value')).val()||'')===attempt}catch(_){ }       if(claimed&&!committed){try{await reqRef.transaction(cur=>{if(cur&&cur.status==='RECE
3150,db.ref,once,DB_PATH+'/global/restockRequests',".once('value'),8000,'RESTOCK_RECOVERY_SCAN_TIMEOUT').catch(()=>null);if(!snap)return 0;var rows=sjArr(snap.val()),count=0;     for(var r of "
3151,db.ref,,DB_PATH+'/global/restockRequests/'+key,",tr=await sjTimeout(ref.transaction(cur=>{if(!cur||String(cur.status||'').toUpperCase()!=='RECEIVING'||cur.receivedAt)return;var cts=sjNum(c"
3165,db.ref,update,DB_PATH+'/global/schema',".update({releaseVersion:'59.3.4',atomicRefundVoid:true,partialQtyRefund:true,atomicRestockReceipt:true,verifiedFinancialWrites:true,updatedA"
3176,db.ref,,DB_PATH+'/global/inventory/'+id,",lid=sjPushKey(DB_PATH+'/global/stockLedger'),opId='STK-'+Date.now().toString(36).toUpperCase()+'-'+Math.random().toString(36).slice(2,5).to"
3182,db.ref,once,DB_PATH+'/global/stockLedger/'+lid,".once('value')).exists());     var aft=await ref.once('value').catch(()=>null),after=aft?sjNum(aft.val()):expected;clsModal('modal-sj-stock'"
3208,db.ref,,DB_PATH+'/global/personNameIndex/'+node+'/'+idxKey,";     var idxSnap=await sjTimeout(idxRef.once('value'),7000,'PERSON_INDEX_READ_TIMEOUT'),known=String(idxSnap.val()||'');     if(known){    "
3211,db.ref,once,DB_PATH+'/global/'+node+'/'+known,".once('value'),7000,'PERSON_INDEX_TARGET_TIMEOUT');       if(!pSnap.exists())await db.ref(DB_PATH+'/global/'+node+'/'+known).set({id:known,n"
3212,db.ref,set,DB_PATH+'/global/'+node+'/'+known,".set({id:known,name:n,phone:'',note:'Dibuat ulang dari indeks identitas',active:true,createdAt:sjNowIso(),createdBy:currentUserName||'SYSTEM"
3215,db.ref,once,DB_PATH+'/global/'+node,".once('value'),8000,'PERSON_LOOKUP_TIMEOUT'),rows=sjArr(all.val()),existing=rows.find(x=>SJReliability.norm(x.name)===n),candidate=existing?"
3217,db.ref,,DB_PATH+'/global/'+node+'/'+winner,",target=await sjTimeout(ref.once('value'),7000,'PERSON_TARGET_READ_TIMEOUT');     if(!target.exists())await ref.set({id:winner,name:n,phone:"
3238,db.ref,once,DB_PATH+'/global/transactionReservations/'+txId+'/lastRecoveryOperationId',".once('value')).val()||'')===opId);     return opId   },    async rollbackReservation(txId,reserved,reason){     if(!txId)return;var ref=db."
3243,db.ref,,DB_PATH+'/global/transactionReservations/'+txId,",snap=await sjTimeout(ref.once('value'),7000,'TX_ROLLBACK_READ_TIMEOUT').catch(()=>null),j=snap?snap.val()||{}:{};     if(['COMMITTED','ROLL"
3254,db.ref,once,DB_PATH+'/global/transactionReservations',".once('value'),10000,'RESERVATION_SCAN_TIMEOUT').catch(()=>null);     if(!snap)return 0;     var rows=sjArr(snap.val()),count=0,review=0,def"
3260,db.ref,,DB_PATH+'/global/transactionReservations/'+r._key,";        // Production Final invariant: NO PROOF, NO RECOVERY.       // A missing/failed Firebase read is not proof that a transaction does "
3269,db.ref,once,DB_PATH+'/'+shift+'/tx/'+txId,".once('value'),7000,'RESERVATION_TX_PROOF_TIMEOUT')}       catch(e){         await ref.update({proofDeferredAt:sjNowIso(),proofError:String("
3296,db.ref,once,DB_PATH+'/'+j.shift+'/tx/'+String(j.txId||key),".once('value'),7000,'RESERVATION_LATE_TX_PROOF_TIMEOUT')}       catch(e){         await ref.transaction(cur=>{           if(!cur||String(cur"
3341,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.3',releaseVersion:'59.3.5',productOrder:true,notificationAudience:true,archiveProducts:true,mobileFirstUX:true,groupedP"
3378,db.ref,,DB_PATH+'/'+shiftKey,",cb=snap=>{         var v=snap.val();         if(v){cloudData[shiftKey]=v;renderApp();return}         if(this.initializingShifts.has(shiftKe"
3394,db.ref,,DB_PATH+'/global/transactionReservations/'+txId,",snap;     try{snap=await sjTimeout(ref.once('value'),7000,'TX_ROLLBACK_PROOF_TIMEOUT')}     catch(e){throw Object.assign(new Error('Status "
3407,db.ref,once,DB_PATH+'/'+shift+'/tx/'+txId,".once('value'),7000,'TX_ROLLBACK_TX_PROOF_TIMEOUT')}     catch(e){await ref.update({rollbackPending:true,rollbackReviewReason:'Tidak dapat m"
3453,db.ref,once,DB_PATH+'/'+activeDate+'/cashMovements/'+id+'/operationId',".once('value')).val()||'')===opId);       showToast('Mutasi kas disimpan.','success');if(document.getElementById('sjx-cash-amount'))document"
3460,db.ref,,DB_PATH,".orderByKey().startAt(startDate+'-S1').endAt(endDate+'-S3').once('value'),10000,'DESTRUCTIVE_SHIFT_GUARD_TIMEOUT'),data=snap.val()||{},out=["
3471,db.ref,once,DB_PATH+'/'+activeDate,".once('value'),7000,'RESET_SHIFT_GUARD_TIMEOUT').catch(()=>null);if(!fresh)return alert('Status shift belum dapat diverifikasi.');if(SJShift"
3478,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.3',releaseVersion:'59.3.6',productOrder:true,notificationAudience:true,archiveProducts:true,mobileFirstUX:true,groupedP"
3514,db.ref,,DB_PATH,".orderByKey().startAt(startKey||'2000-01-01-S1').endAt(endKey||'9999-12-31-S3');     var snap=await sjTimeout(q.once('value'),12000,'ACTIVE_"
3539,db.ref,once,DB_PATH+'/global/users',".once('value'),9000,'USER_SAVE_GUARD_TIMEOUT'),users=snap.val()||{},old=users[id]||null,oldRole=String(old?.role||'');       if(old&&oldRole"
3549,db.ref,,DB_PATH+'/global/users/'+id,";       try{await sjTimeout(ref.set(row),10000,'USER_SAVE_TIMEOUT')}       catch(e){var verify=await sjTimeout(ref.child('updateOperationId'"
3560,db.ref,once,DB_PATH+'/global/users',".once('value'),9000,'USER_DELETE_GUARD_TIMEOUT'),users=usersSnap.val()||{},target=users[id];if(!target)return alert('Pengguna tidak ditemuka"
3563,db.ref,,DB_PATH+'/global/users/'+id,";await sjTimeout(ref.remove(),9000,'USER_DELETE_TIMEOUT');sjAudit('USER_DELETE',id);showToast('Pengguna dihapus.','success')     }catch(e){s"
3574,db.ref,,DB_PATH+'/global/lockedMonths',;         try{await sjTimeout(ref.transaction(cur=>{var arr=this.normalizeLocked(cur);if(!arr.includes(bln))arr.push(bln);return Array.from(
3594,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.3',releaseVersion:'59.3.9',proofFirstStaleRecovery:true,eomActiveShiftGuard:true,transactionalMonthLock:true,lastOwnerR"
3710,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.3',releaseVersion:'59.3.10',operationalReadyFinal:true,qrisConfigurationGuard:true,restoreActiveShiftGuard:true,expande"
3770,db.ref,once,DB_PATH+'/'+activeDate,".once('value'),8000,code||'CASH_SHIFT_READ_TIMEOUT');     var d=snap.val()||{},state=this.shiftState(d);     if(state!=='ACTIVE'||d.locked=="
3779,db.ref,,DB_PATH+'/'+activeDate+'/cashOutLock',",now=Date.now();     var tr=await sjTimeout(ref.transaction(cur=>{       var lk=cur||{},age=now-sjNum(lk.ts);       if(lk.id&&age<this.lockT"
3812,db.ref,once,DB_PATH+'/'+activeDate+'/opex/'+id+'/operationId',.once('value')).val()||'')===opId);       lock=null;clsModal('modal-sj-expense');showToast('Pengeluaran disimpan • '+sjFundLabel(source)+'.'
3831,db.ref,once,DB_PATH+'/global/kasbonKaryawan/'+id+'/operationId',.once('value')).val()||'')===id);       lock=null;clsModal('modal-tambah-kasbon');showToast('Kasbon karyawan tersimpan • '+sjFundLabel(sourc
3844,db.ref,once,DB_PATH+'/'+activeDate+'/cashMovements/'+id+'/operationId',".once('value')).val()||'')===opId);lock=null;       showToast('Mutasi kas disimpan.','success');if(document.getElementById('sjx-cash-amount'"
3855,db.ref,once,DB_PATH+'/global/'+node+'/'+key,".once('value'),8000,'PAYMENT_RECORD_READ_TIMEOUT'),h=snap.val();if(!h)throw new Error('Data hutang/kasbon tidak ditemukan.');       var tota"
3894,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.3',releaseVersion:'59.3.11',cashOutGuard:true,cashOutSerialized:true,financialActiveShiftGuard:true,debtPaymentButtonFi"
4024,db.ref,update,DB_PATH+'/global/uiSettings',".update(Object.assign({},val,{updatedAt:sjNowIso(),updatedBy:currentLoginId})),10000,'UI_SETTINGS_TIMEOUT');cloudData.global=cloudData.globa"
4025,db.ref,set,DB_PATH+'/global/uiSettings',".set(Object.assign({},this.defaults,{updatedAt:sjNowIso(),updatedBy:currentLoginId}));cloudData.global.uiSettings=Object.assign({},this.defa"
4042,db.ref,set,DB_PATH+'/global/inventory/'+updated.id,".set(0);clsModal('modal-sjmux-quick');showToast('Produk diperbarui.','success');sjAudit('PRODUCT_QUICK_EDIT',n);this.refreshAll()}catch(e){s"
4052,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.4',releaseVersion:'59.4.0',mobileUiSettings:true,longPressProductEdit:true,iconProductMaster:true,updatedAt:sjNowIso()}"
4157,db.ref,set,DB_PATH+'/global/inventory/'+clone.id,.set(0);clsModal('modal-sjmux-quick');SJMobileUX.renderProductMaster();SJPro.renderProducts();showToast('Produk diduplikat. Stok produk baru
4174,db.ref,update,DB_PATH+'/global/uiSettings',".update(Object.assign({},val,{updatedAt:sjNowIso(),updatedBy:currentLoginId})),10000,'UI_SETTINGS_TIMEOUT');cloudData.global.uiSettings=Obje"
4175,db.ref,set,DB_PATH+'/global/uiSettings',".set(Object.assign({},val,{updatedAt:sjNowIso(),updatedBy:currentLoginId}));cloudData.global.uiSettings=val;this.applyLayout();SJMobileUX.op"
4187,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.4',releaseVersion:'59.4.1',mobileProfessionalP1:true,roleLayouts:true,quickActions:true,pinnedFavorites:true,productDup"
4236,db.ref,update,DB_PATH,".update(u);showToast(rows.length+' notifikasi ditandai dibaca.','success');this.renderNotifications();SJX.updateBell()}catch(e){alert(sjFrie"
4251,db.ref,,DB_PATH+'/global/deviceSessions/'+id,";try{var snap=await ref.once('value'),old=snap.val()||{};if(old.revoked){showToast('Perangkat ini telah dicabut aksesnya oleh Owner.','error"
4253,db.ref,update,DB_PATH+'/global/deviceSessions/'+key,".update({revoked:revoke,revokedAt:revoke?sjNowIso():'',revokedBy:currentUserName,online:revoke?false:x.online});sjAudit(revoke?'DEVICE_REVOK"
4256,db.ref,once,DB_PATH+'/'+activeDate,".once('value'),7000,'CLOSE_HEALTH_SHIFT_TIMEOUT'),sjTimeout(db.ref(DB_PATH+'/global/restockRequests').once('value'),7000,'CLOSE_HEALTH_RESTO"
4256,db.ref,once,DB_PATH+'/global/restockRequests',".once('value'),7000,'CLOSE_HEALTH_RESTOCK_TIMEOUT'),sjTimeout(db.ref(DB_PATH+'/global/transactionReservations').once('value'),7000,'CLOSE_HE"
4256,db.ref,once,DB_PATH+'/global/transactionReservations',".once('value'),7000,'CLOSE_HEALTH_RESERVATION_TIMEOUT')]),h=this.closingHealth(ds.val()||{},{restockRequests:rs.val()||{},transactionReserva"
4263,db.ref,once,DB_PATH,".once('value'),15000,'BACKUP_TIMEOUT'),data=snap.val();if(!data)return alert('Database kosong.');var blob=new Blob([JSON.stringify(data,null"
4263,db.ref,update,DB_PATH+'/global/systemMeta',".update({lastBackupAt:sjNowIso(),lastBackupTs:Date.now(),lastBackupBy:currentUserName,lastBackupBuild:'59.4.2'}).catch(()=>{});showToast('Ba"
4264,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.4',releaseVersion:'59.4.2',mobileProfessionalP1:true,ownerControlP2:true,smartNotificationCenter:true,humanAuditTrail:t"
4267,db.ref,update,DB_PATH+'/global/deviceSessions/'+id,".update({online:false,lastSeenAt:sjNowIso(),lastSeenTs:Date.now()}).catch(()=>{});if(this._deviceRef&&this._deviceCb)this._deviceRef.off('va"
4290,db.ref,once,DB_PATH+'/global/security/authMode',".once('value'),5000,'AUTH_MODE_TIMEOUT'),m=String(s.val()||'LEGACY').toUpperCase();this.cacheAuthMode(m);cloudData.global=cloudData.global||"
4292,db.ref,,DB_PATH+'/global/'+path,;if(path==='auditLogs'||path==='stockLedger'||path==='refunds')return r.orderByChild('ts').limitToLast(path==='auditLogs'?600:1000);if(path=
4294,db.ref,once,DB_PATH+'/global/users',".once('value'),10000,'LOAD_USERS_TIMEOUT');cloudData.global.users=us.val()||{}}else{var us2=await sjTimeout(db.ref(DB_PATH+'/global/users/'+"
4294,db.ref,once,DB_PATH+'/global/users/'+currentLoginId,".once('value'),10000,'LOAD_USER_TIMEOUT');cloudData.global.users={};cloudData.global.users[currentLoginId]=us2.val()||{}}this.normalizeGloba"
4297,db.ref,,DB_PATH+'/global/users',",uc=sn=>{cloudData.global.users=sn.val()||{};this.scheduleRender('users')};ur.on('value',uc,e=>sjSaveError('P3_USERS_LISTENER',e));this._lis"
4297,db.ref,,DB_PATH+'/global/users/'+currentLoginId,",uc2=sn=>{cloudData.global.users=cloudData.global.users||{};cloudData.global.users[currentLoginId]=sn.val()||{};this.scheduleRender('users')"
4298,db.ref,,'.info/connected',";this._connectedRef.on('value',sn=>{this.serverConnected=sn.val()===true;this.updateSyncUI();if(ind){ind.textContent=this.serverConnected?'●"
4298,db.ref,,DB_PATH+'/global/security',";this._securityRef.on('value',sn=>{cloudData.global=cloudData.global||{};cloudData.global.security=sn.val()||{};this.cacheAuthMode(String(cl"
4298,db.ref,,DB_PATH+'/global/settings',";this._settingsRef.on('value',sn=>{cloudData.global=cloudData.global||{};cloudData.global.settings=sn.val()||{};applyStoreSettings()},()=>{}"
4299,db.ref,,DB_PATH,");['set','update','remove','transaction'].forEach(name=>{var orig=proto[name];if(typeof orig!=='function'||orig.__sjp3)return;var self=this;"
4303,db.ref,once,DB_PATH+'/global/authUsers/'+uid,".once('value'),7000,'AUTH_MAP_VERIFY_TIMEOUT'),m=ms.val()||{};if(!m.active||String(m.username||'')!==String(username)||String(m.role||'trans"
4303,db.ref,set,DB_PATH+'/global/authUsers/'+uid,.set(row)}else if(String(user?.role||'transaksi')==='manajemen'){await db.ref(DB_PATH+'/global/authUsers/'+uid).update(row)}else{var ms=awai
4303,db.ref,update,DB_PATH+'/global/authUsers/'+uid,".update(row)}else{var ms=await sjTimeout(db.ref(DB_PATH+'/global/authUsers/'+uid).once('value'),7000,'AUTH_MAP_VERIFY_TIMEOUT'),m=ms.val()||"
4303,db.ref,update,DB_PATH+'/global/users/'+username,".update({authUid:uid,authEmail:c.email,authProvisionedAt:sjNowIso(),authVersion:1});await db.ref(DB_PATH+'/global/authUsers/'+uid).set(row)}"
4304,db.ref,once,DB_PATH+'/global/authUsers/'+uid,".once('value'),7000,'AUTH_MAP_TIMEOUT'),m=map.val()||{};if(!m.active||String(m.username||'')!==String(username))throw Object.assign(new Erro"
4304,db.ref,once,DB_PATH+'/global/users/'+username,".once('value'),7000,'AUTH_USER_TIMEOUT'),user=us.val();if(!user)throw Object.assign(new Error('Profil pengguna POS tidak ditemukan.'),{code:"
4306,db.ref,once,DB_PATH+'/global/users/'+u,".once('value'),8000,'LOGIN_USER_TIMEOUT');user=snap.val();if(!user||!(await sjVerifyPin(u,p,user)))throw Object.assign(new Error('PIN salah'"
4307,db.ref,update,DB_PATH+'/global/deviceSessions/'+did,".update({online:false,lastSeenAt:sjNowIso(),lastSeenTs:Date.now()}).catch(()=>{});if(SJOwnerProfessionalP2._deviceRef&&SJOwnerProfessionalP2"
4308,db.ref,set,DB_PATH+'/global/authUsers/'+uid,".set({uid,username,role:row.role||'transaksi',displayName:String(row.nama||username).toUpperCase(),active:true,updatedAt:sjNowIso(),updatedT"
4308,db.ref,update,DB_PATH+'/global/users/'+username,".update({authUid:uid,authEmail:c.email,authProvisionedAt:sjNowIso(),authVersion:1});await db.ref(DB_PATH+'/global/authUsers/'+uid).set({uid,"
4309,db.ref,once,DB_PATH+'/global/users',".once('value'),9000,'P3_USER_SAVE_READ_TIMEOUT')).val()||{},old=users[id]||null;if(!old&&pin.length<4)return alert('PIN minimal 4 karakter u"
4309,db.ref,set,DB_PATH+'/global/users/'+id,".set(row),10000,'P3_USER_SAVE_TIMEOUT');var uid=row.authUid||'';if(!uid&&pin&&this.authMode()!=='LEGACY'){try{uid=await this.provisionUserSe"
4309,db.ref,update,DB_PATH+'/global/authUsers/'+uid,".update({uid,username:id,role,displayName:String(nama).toUpperCase(),active:true,updatedAt:sjNowIso(),updatedTs:Date.now()});['usr-id','usr-"
4310,db.ref,once,DB_PATH+'/global/users/'+id,".once('value'),u=snap.val()||{},uid=u.authUid||'';await SJAdminEomSafety.deleteUserSafe(id);if(uid){var exists=await db.ref(DB_PATH+'/global"
4310,db.ref,once,DB_PATH+'/global/users/'+id,".once('value');if(!exists.exists())await db.ref(DB_PATH+'/global/authUsers/'+uid).update({active:false,revokedAt:sjNowIso(),revokedBy:curren"
4310,db.ref,update,DB_PATH+'/global/authUsers/'+uid,".update({active:false,revokedAt:sjNowIso(),revokedBy:currentLoginId}).catch(()=>{})}},   async changeOwnPin(){if(!currentLoginId)return;var "
4311,db.ref,once,DB_PATH+'/global/users/'+currentLoginId,".once('value')).val();if(!u||!(await sjVerifyPin(currentLoginId,old,u)))return alert('PIN saat ini salah.');var np=prompt('Masukkan PIN baru"
4311,db.ref,update,DB_PATH+'/global/users/'+currentLoginId,".update({pinHash:c.hash,pinAlgo:'PBKDF2-SHA256',pinVersion:2,updatedAt:sjNowIso()});SJ_SESSION_PIN=np;showToast('PIN berhasil diperbarui.','"
4312,db.ref,once,DB_PATH+'/global/security',".once('value')).val()||{};if(missing.length)return alert('SECURE belum dapat diaktifkan. Akun belum memiliki Firebase UID: '+missing.join(',"
4312,db.ref,once,DB_PATH+'/global/users',".once('value')).val()||{},missing=Object.keys(users).filter(k=>!users[k]?.authUid);var sec=(await db.ref(DB_PATH+'/global/security').once('v"
4312,db.ref,update,DB_PATH+'/global/security',".update({authMode:mode,updatedAt:sjNowIso(),updatedBy:currentLoginId});this.cacheAuthMode(mode);showToast('Mode autentikasi: '+mode+(mode==="
4313,db.ref,update,DB_PATH+'/global/security',".update({rulesDeploymentConfirmed:true,rulesConfirmedAt:sjNowIso(),rulesConfirmedBy:currentLoginId});showToast('Status Security Rules ditand"
4315,db.ref,update,DB_PATH+'/global/systemMeta',".update({minClientVersion:this.version,recommendedClientVersion:this.version,versionEnforcedAt:sjNowIso(),versionEnforcedBy:currentLoginId})"
4323,db.ref,,DB_PATH+'/global/systemMeta/imageMigrationLock',",token='IMG-'+Date.now().toString(36).toUpperCase(),claim=await lockRef.transaction(cur=>{if(cur&&Date.now()-sjNum(cur.ts)<20*60000)return;r"
4323,db.ref,once,DB_PATH+'/global/menu',".once('value'),ss=await db.ref(DB_PATH+'/global/settings').once('value'),rawMenu=ms.val()||[],settings=ss.val()||{};sjDownloadBlob(new Blob("
4323,db.ref,once,DB_PATH+'/global/settings',".once('value'),rawMenu=ms.val()||[],settings=ss.val()||{};sjDownloadBlob(new Blob([JSON.stringify({menu:rawMenu,settings:settings,createdAt:"
4323,db.ref,update,DB_PATH,".update(updates),20000,'IMAGE_MIGRATION_WRITE_TIMEOUT');await db.ref(DB_PATH+'/global/systemMeta').update({lastImageMigrationAt:sjNowIso(),l"
4323,db.ref,update,DB_PATH+'/global/systemMeta',".update({lastImageMigrationAt:sjNowIso(),lastImageMigrationBy:currentLoginId,lastImageMigrationDone:done,lastImageMigrationFailed:failed});s"
4326,db.ref,once,DB_PATH+'/global/authUsers',".once('value'),db.ref(DB_PATH+'/global/users').once('value'),db.ref(DB_PATH+'/global/security').once('value'),db.ref(DB_PATH+'/global/system"
4326,db.ref,once,DB_PATH+'/global/security',".once('value'),db.ref(DB_PATH+'/global/systemMeta').once('value')]),authUsers=au.val()||{},liveUsers=us.val()||{},security=sec.val()||{},sys"
4326,db.ref,once,DB_PATH+'/global/systemMeta',".once('value')]),authUsers=au.val()||{},liveUsers=us.val()||{},security=sec.val()||{},systemMeta=sm.val()||{};cand.global=cand.global||{};ca"
4326,db.ref,once,DB_PATH+'/global/users',".once('value'),db.ref(DB_PATH+'/global/security').once('value'),db.ref(DB_PATH+'/global/systemMeta').once('value')]),authUsers=au.val()||{},"
4327,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.4',releaseVersion:this.version,productionArchitectureP3:true,firebaseAuthBridge:true,securityModeMigration:true,firebas"
4327,db.ref,update,DB_PATH+'/global/systemMeta',".update({recommendedClientVersion:this.version,lastArchitectureUpgradeAt:sjNowIso()})}catch(e){sjSaveError('P3_SCHEMA_META',e)}},   provisio"
4334,db.ref,,DB_PATH+'/global/deviceSessions/'+id,";try{var snap=await ref.once('value'),old=snap.val()||{};if(old.revoked){showToast('Perangkat ini telah dicabut aksesnya oleh Owner.','error"
4337,db.ref,update,DB_PATH+'/global/systemMeta',".update({lastBackupBuild:this.version,lastBackupSchema:this.schema}).catch(()=>{});return x};window.addEventListener('online',()=>this.updat"
4664,db.ref,once,DB_PATH+'/global/authUsers/'+uid,".once('value'),7000,'AUTH_MAP_TIMEOUT'),         sjTimeout(db.ref(DB_PATH+'/global/users/'+username).once('value'),7000,'AUTH_USER_TIMEOUT')"
4665,db.ref,once,DB_PATH+'/global/users/'+username,".once('value'),7000,'AUTH_USER_TIMEOUT')       ]),m=pair[0].val()||{},user=pair[1].val();       if(!m.active||String(m.username||'')!==Strin"
4687,db.ref,once,DB_PATH+'/global/users/'+u,".once('value'),8000,'LOGIN_USER_TIMEOUT');user=snap.val();             if(!user||!(await sjVerifyPin(u,p,user)))throw Object.assign(new Erro"
4715,db.ref,update,DB_PATH,".update(u)}catch(e){sjSaveError('NOTIF_OPEN_ACK',e)}   },   patchNotifications(){     if(!window.SJX)return;     var oldOpen=SJX.openNotific"
4751,db.ref,once,DB_PATH+'/global/menu',".once('value'),db.ref(DB_PATH+'/global/settings').once('value')]),rawMenu=pair[0].val()||[],settings=pair[1].val()||{};       sjDownloadBlob"
4751,db.ref,once,DB_PATH+'/global/settings',".once('value')]),rawMenu=pair[0].val()||[],settings=pair[1].val()||{};       sjDownloadBlob(new Blob([JSON.stringify({menu:rawMenu,settings:"
